,0
Sophie Anderson ,none
John Allison ,none
Krysten Ritter ,1981-12-16
Wendy Higgins ,none
Dawn Kurtagich ,none
Devon Hughes,1972-08-01
Kate DiCamillo ,1964-03-25
Grace Lin ,none
David Ebershoff ,1969-01-17
Samantha Young ,none
Maggie O'Farrell ,1972-05-27
E. Lockhart ,none
Patricia Gibney,none
Felicia Day ,1979-06-28
Khaled Hosseini ,1965-03-04
Robert Kirkman,1978-11-30
Aurora Rose Reynolds ,none
Kabi Nagata,none
Melinda Salisbury,none
Chriselda Barretto ,none
Edgar Cantero ,1981-05-27
Jessica Verdi ,none
Michael Punke,1964-12-07
Gill Paul ,none
Patricia Briggs,none
Jen Turano ,none
Lynda Mullaly Hunt ,none
Karen Kingston ,none
R.C. Sproul,1939-02-13
David Neilsen ,none
Johanna Lindsey,1952-03-10
Tillie Cole ,none
Sharon Cameron ,none
Deanna Raybourn ,1968-06-17
William H. Armstrong,none
Erin Hunter,none
Tracy Rees,none
Kirstin Cronn-Mills,none
Christopher Scotton ,none
Gordon Korman,1963-10-23
Gloria Steinem,1934-03-25
Esther Hautzig,none
Patrick Radden Keefe,1976
Samuel Beckett,1906-04-13
Ilsa Madden-Mills ,none
Lisa Kleypas ,1964-11-05
Alan Bradley ,none
Chuck Grossart ,none
Roan Parrish ,none
Avi,none
Richard Fifield ,none
Helena Newbury ,none
Irvin D. Yalom,1931-06-13
Jacqueline Wilson,1945-12-17
Emma Chase ,none
Mhairi McFarlane ,none
Michael Bialys ,none
M,none
Arnold Henry ,none
K. Bromberg ,none
Lora Leigh,1965-03-06
Kelley Armstrong ,1968-12-14
Sally Hepworth ,none
E.L. Ervin ,none
Sapan Saxena ,none
Steven Cross ,none
David Hartness ,none
Jared Brock ,none
Kelly St. Clare ,none
Alcatraz Dey ,none
Saira Viola ,none
Julie Morgan ,1944-11-02
Dannielle Wicks ,none
Miranda Sings,none
David Beaupre ,none
Jasmine Lee ,none
Carole Devine ,none
M.A. Phipps ,none
Nicholas Ponticello ,none
William Nicholson,none
Carole Matthews,none
Isabel Curtis ,none
Martine Bailey ,none
Kristen Simmons ,none
Alaric Longward ,none
J. Dylan Yates ,none
J.L. Drake ,none
Donald Jans ,none
L.V. George ,none
J.J. Sherwood ,none
Himanshu Arora ,none
Leah Rooper ,none
C.S. Oliver ,none
Maggie Georgiana Young ,none
